课题	负责人	单位	金额	类型	学科代码	开始时间	具体链接
基于代谢组学的叶酸缺乏影响胚胎脑发育机制研究	张敏	首都儿科研究所	23.0万元	医学科学	H0724医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=8754360264db
运用代谢组学手段研究n3多不饱和脂肪酸在心血管疾病中的保护作用及其机制	朱毅	天津医科大学	320.0万元	医学科学	H02医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=eda93565051d
基于TGF-β1／Smads信号通路研究艾灸对RA模型大鼠心功能的影响及其干预的代谢组学研究	朱艳	安徽中医药大学	23.0万元	医学科学	H2718医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=5d41356524d2
植物性饲料中添加胆固醇促虹鳟生长调控机制的代谢组学研究	邓君明	云南农业大学	55.0万元	生命科学	C190401生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=78133890198b
基于同位素代谢标记和定量代谢组学的甲基化代谢谱定量分析方法研究	陈艳华	中国医学科学院药物研究所	25.0万元	化学科学	B0505化学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=1886390048ec
许氏平鮋妊娠生理特征及代谢组学对温度胁迫的响应机制	温海深	中国海洋大学	92.0万元	地球科学	D0609地球科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=90a436e418e3
基于WAVE3调控和代谢组学的黄芪-乳香配伍对卵巢癌耐药及侵袭能力作用的机制研究	王金华	南京医科大学	72.0万元	医学科学	H2708医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=7589369e1637
肥胖大鼠与肠道菌群相互作用的代谢组学分析	安艳捧	复旦大学	25.0万元	化学科学	B0504化学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=e2673921e880
皱皮木瓜果实有机酸代谢组学研究与调控关键点确定	刘世尧	西南大学	24.0万元	生命科学	C020409生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=94ce3e7958ba
基于PK-PD与代谢组学方法研究何首乌肝毒性的毒效物质与致毒机理	刘梅	广州中医药大学	23.0万元	医学科学	H2803医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=e60b3e821407
应用基于1H NMR的代谢组学方法研究2型糖尿病并发抑郁症的代谢机制	刘锟	温州医科大学	23.0万元	医学科学	H0729医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=e5f23e8329b5
棉花种子ω-7脂肪酸生物合成途径的代谢组装	薛金爱	山西农业大学	24.0万元	生命科学	C130406生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=861d3646512b
基于代谢组学的小儿泄泻脾虚证证候及效应机制研究	徐珊	南京中医药大学	23.0万元	医学科学	H2712医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=802a3651939f
新疆哈萨克肥胖儿童菌群人源化动物模型的建立及基于 GC﹣MS 技术代谢组学研究	徐佩茹	新疆医科大学	46.0万元	医学科学	H0716医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=b1cb365231ec
基于药效差示血清色谱法-代谢组学技术研究丹参-降香对药治疗冠心病的药效物质及作用机制	奚苗苗	中国人民解放军第四军医大学	73.0万元	医学科学	H2803医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=50443664630e
基于脂质代谢组学技术的骨蚀灵胶囊干预激素诱导股骨头坏死的机制研究	于雪峰	南昌大学	72.0万元	医学科学	H2710医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=ad2636234380
基于核磁共振代谢组技术研究电针胃经穴对胃黏膜损伤修复的脑胃响应机制	杨宗保	厦门大学	72.0万元	医学科学	H2718医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=b3043632105d
基于TGF-β/Smad 信号通路的莪术醋制抗肝纤维化代谢组学研究	毛春芹	南京中医药大学	76.0万元	医学科学	H2805医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=74563e569099
基于共生互作的海绵微生物群落结构多样性及其代谢组变化规律	张卫	上海交通大学	20.0万元	地球科学	D0609地球科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=aa2335981873
基于代谢组学及液质联用技术的紫菀质量控制和抗哮喘作用机制研究	张兰桐	河北医科大学	55.0万元	医学科学	H3010医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=06383605226a
棉酚旋光异构体在泌乳奶牛体内转移规律及其代谢组研究	张军民	中国农业科学院北京畜牧兽医研究所	88.0万元	生命科学	C170107生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=ae1136061348
新疆肝癌脾虚湿盛证的代谢组学研究	吕书勤	新疆医科大学	50.0万元	医学科学	H2702医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=f8be3e620656
基于核磁共振的水稻初级代谢组学数据库的建立	刘于	浙江大学	24.0万元	生命科学	C020406生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=20863e7358a5
肠道微生态与代谢组相关联的大枣补脾益胃功效物质及作用机制研究	郭盛	南京中医药大学	72.0万元	医学科学	H2903医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=064838629841
基于肠道微生物基因组学和代谢组学对不同动物乳营养和功能的研究	郭丽如	内蒙古农业大学	52.0万元	生命科学	C200401生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=62fe386359bc
基于代谢组学探究盾叶薯蓣降血脂的药效物质基础及作用机制	杜丹	四川大学	23.0万元	医学科学	H2803医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=bfa1388436c7
制首乌在大鼠抑郁症治疗中的代谢组学的研究	陈晓珍	中国科学院成都生物研究所	25.0万元	化学科学	B020402化学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=e0bc39014e01
基于脂质代谢组学解析中华绒螯蟹关键香气物质的形成机制	王锡昌	上海海洋大学	90.0万元	生命科学	C200503生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=b3f436862076
基于代谢组学的味觉异常分子机制的研究	王杰美	四川大学	23.0万元	医学科学	H1407医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=6398369e2592
基于代谢组学特征的白芍养血柔肝“证-效”研究及芍药内酯苷作用机制	张建军	北京中医药大学	73.0万元	医学科学	H2807医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=4bf336080436
应用代谢组学方法研究重症急性胰腺炎继发MOF的早期预警机制	于齐宏	中国人民解放军第二军医大学	24.0万元	医学科学	H0320医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=4a5636240392
基于理气功效和代谢组学技术的柑橘属药材效应物质基础及质量控制研究	刘鄂湖	中国药科大学	78.0万元	医学科学	H2804医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=0d203e888591
基于代谢组学探讨ApoE基因敲除小鼠动脉粥样硬化易损斑块形成的动态机制及解毒活血法的干预作用	聂波	北京中医药大学	23.0万元	医学科学	H2708医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=d6eb3e519164
慢乙肝重症化中肠道微生态失衡分子机制的宏蛋白组与代谢组学研究	孙泽宇	浙江大学	23.0万元	医学科学	H0306医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=27993e175451
基于药物代谢组学方法研究益气活血中药有效部位配伍增强阿司匹林抗血小板作用的机理	杨琳	中国中医科学院西苑医院	23.0万元	医学科学	H2901医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=da1f363822d3
基于代谢组学的子宫内膜异位症发病机制和诊断生物标志物研究	杨必成	江西省妇幼保健院	48.0万元	医学科学	H0406医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=466b3642e342
基于木质牙签离子化技术的代谢组学平台的建立及其在川贝母基原鉴定和亲缘学研究中的应用	辛贵忠	香港科技大学深圳研究院	23.0万元	医学科学	H2802医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=9cae365e85b1
基于转录组联合代谢组的抗氧化剂原花青素调节钙代谢异常机理的研究	肖瀛	上海应用技术学院	25.0万元	生命科学	C200404生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=eef636604626
基于稳定同位素标记的糖代谢组学多平台梯度研究新策略的构建	陈光	曲阜师范大学	50.0万元	化学科学	B050102化学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=b995391053d7
基于液相色谱-质谱联用技术和气相色谱-质谱联用技术的不同表型哮喘患者的血清代谢组学研究	常春	北京大学	24.0万元	医学科学	H0107医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=700d391381d6
综合分析代谢组与转录水平探究镉超积累植物东南景天体内硫同化途径的调节机制	Md.Jahidul Islam Shohag	浙江大学	24.0万元	生命科学	C150705生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=6a75392314f4
定喘汤"宣降清三法"干预合胞病毒感染T-bet哮喘易感基因及代谢组学研究	崔振泽	大连医科大学	76.0万元	医学科学	H2712医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=83cc3892e233
非酒精性脂肪性肝炎肝郁脾虚证TLR4/TRIF通路与代谢组学机制研究	苗宇船	山西中医学院	73.0万元	医学科学	H2703医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=50df3e541652
低毒病毒对板栗疫病菌代谢组的调控	何熙璞	广西大学	50.0万元	生命科学	C010701生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=516a3854e7a7
通过转基因小鼠模型在转录组和代谢组水平上解析GLUD2基因在人类认知功能进化过程中的调控机制	国颂	中国科学院上海生命科学研究院	24.0万元	生命科学	C060402生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=b9ad38608660
基于同位素编码标记的拟靶向代谢组学新方法及其在特色浆果食品组学中的应用	尤进茂	曲阜师范大学	90.0万元	化学科学	B0505化学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=bad136259efb
蛋白质-代谢物组相互作用的代谢组学新方法研究	梁晓萍	清华大学	15.0万元	医学科学	H3010医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=47763e9551df
基于代谢组学的儿童孤立性血尿湿热证生物标志物筛选及清法方药干预的研究	刘晓鹰	湖北省中医院	68.0万元	医学科学	H2712医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=131f3e765021
重性抑郁症中医辨证分型的神经化学、代谢组学和神经影像学的鉴别研究	刘兰英	浙江省中医药研究院	23.0万元	医学科学	H2721医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=edfa3e832854
基于GS-MS代谢组学的线点灸对急性痛风性关节炎作用机制研究	陈日兰	广西中医药大学	49.0万元	医学科学	H2720医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=712d39044103
基于水稻代谢组分全基因组关联的萜烯合酶基因的功能研究	李洋	华中农业大学	24.0万元	生命科学	C020409生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=c98838014ee1
基于叶绿体蛋白质组学和代谢组学解析CO2加富缓解黄瓜干旱胁迫的生理机制	李清明	山东农业大学	82.0万元	生命科学	C1504生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=90ea38091985
基于组合质谱技术与代谢组学方法的中药何首乌体内物质作用组群与肝毒性研究	徐文	广州中医药大学	23.0万元	医学科学	H3010医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=0fbf36513e5f
“谱效关系与代谢组学联用技术”在铁苋菜抑菌物质的辨识及其作用机制研究中的应用	肖遂	中国农业科学院上海兽医研究所	25.0万元	生命科学	C1806生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=1e2036609422
基于代谢组学燥邪伏留型口腔扁平苔藓的动态研究	杨续艳	黑龙江中医药大学	23.0万元	医学科学	H2715医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=852f3634e272
基于代谢组学分析的 PM 2.5 毒性机制研究	史纯珍	北京工商大学	30.0万元	化学科学	B070701化学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=6c0c3e300304
药物代谢组学指导肾移植患者他克莫司个体化用药及机制研究	石建	南京大学	23.0万元	医学科学	H3110医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=f4de3e31219d
基于组织样本代谢组学的HBV肝硬化血清小分子标志物特异性研究	齐素文	深圳大学	23.0万元	医学科学	H2006医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=f11a3e4432d7
基于定量代谢组学融合整体药代动力学的牡丹皮炭炮制机理研究	孟江	广东药学院	73.0万元	医学科学	H2805医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=5a7e3e5548d4
整合PK/PD与代谢组学的黄连解毒汤体内药效物质基础研究	孔令义	中国药科大学	320.0万元	医学科学	H28医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=82d4382665f5
基于代谢组学的PK-PD研究阐释麝香保心丸的体内药效物质及其作用机制	柳润辉	中国人民解放军第二军医大学	78.0万元	医学科学	H2803医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=ea353e71104f
基于代谢组学解析粗饲料质量影响奶牛泌乳性能的机制研究	刘建新	浙江大学	90.0万元	生命科学	C170107生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=70463e8519d7
大黄灵仙胶囊对胆结石胆汁代谢组学特征及胆小管侧膜运转蛋白表达影响的研究	唐乾利	右江民族医学院	30.0万元	医学科学	H2709医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=4bd73e136165
应用代谢组学评估椎间盘的功能状态及生物学治疗对退变性椎间盘代谢水平的影响	陈伯华	青岛大学	70.0万元	暂无数据	H0609医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=18c828256578
基于代谢组学技术的脾虚大鼠脾失健运机理研究	王彩霞	辽宁中医药大学	60.0万元	暂无数据	H2701医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=2518296822cf
基于代谢组学研究柔嫩艾美耳球虫子孢子能量代谢途径	廖申权	广东省农业科学院	23.0万元	暂无数据	C1804生命科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=9d9629692896
基于代谢组学研究方法的中药治疗高尿酸血症整体作用机制研究	刘舒	中国科学院长春应用化学研究所	23.0万元	暂无数据	H2811医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=70ff28409166
基于细胞代谢组学-血清药理学-分子生物学的京大戟、芫花致肝毒性机制、物质基础和炮制前后肝毒性变化的研究	陈晓辉	沈阳药科大学	75.0万元	暂无数据	H3010医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=fc6a284860fc
基于代谢组学的桑叶多组分对糖尿病及其并发症的整体调节与分子机制研究	宿树兰	南京中医药大学	73.0万元	暂无数据	H2903医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=d3f1285382f9
基于CYP450酶表达调控及代谢组学的五味子醋制保肝作用机制研究	陆兔林	南京中医药大学	75.0万元	暂无数据	H2805医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=700c28538903
从代谢组学分析甲状腺机能减退症病理基础及温肾阳法的作用机制	熊莉华	广州中医药大学	23.0万元	暂无数据	H2708医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=864028e99531
基于体外受精-胚胎移植卵泡液代谢组学的肾主生殖理论研究	孙振高	山东中医药大学	65.0万元	暂无数据	H2711医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=7c93299254e4
动物宿主与多种寄生生物相互作用的代谢组学分析	王玉兰	中国科学院武汉物理与数学研究所	80.0万元	暂无数据	B0504化学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=0796294e5516
抗阻运动对糖尿病前期人群代谢控制及转归的影响（基于NMR代谢组学）	楼青青	江苏省中医药研究院	16.0万元	暂无数据	H0713医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=cd264366e3b7
基于小波变换的代谢组低浓度标志物统计分析模型与方法研究	李贞子	哈尔滨医科大学	24.0万元	暂无数据	H2611医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=6622293499ae
基于转录组学和代谢组学的茅苍术资源品质研究	余坤	湖北中医药大学	22.0万元	暂无数据	C020601生命科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=25a32960e4f0
基于血清药物化学和代谢组学的蒙药地格达-4味汤抗急性肝损伤的物质基础及作用机制分析	巴根那	内蒙古民族大学	45.0万元	暂无数据	H2818医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=f1d929631800
基于LC/MS-IT-TOF技术和代谢组学研究方法探讨长梗喉毛花抗肝损伤作用的PK/PD相关性	唐丽	中央民族大学	73.0万元	暂无数据	H2720医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=c40229e1333a
基于微透析-代谢组学技术的壮药白背叶根抗肝纤维化物质基础及作用机制研究	叶勇	广西医科大学	45.0万元	暂无数据	H2818医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=b2702880855a
嗜酸乳杆菌棉粕发酵产物代谢组学研究及其对肉仔鸡血浆代谢物的影响	张文举	石河子大学	48.0万元	暂无数据	C170108生命科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=962728222209
基于代谢组和转录组的慢性乙型肝炎患者不同舌象生物学基础研究	胡义扬	上海中医药大学	72.0万元	暂无数据	H2902医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=5cc128235622
基于代谢组学技术研究合募配穴艾灸治疗溃疡性结肠炎的效应机制	吴璐一	上海中医药大学	23.0万元	暂无数据	H2718医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=02ce2823954a
基于代谢组学的小儿病毒性肺炎证候学生物标记物研究	汪受传	南京中医药大学	75.0万元	暂无数据	H2712医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=7611285398de
基于DNA条形码和1H-NMR代谢组学技术的多基源藏药小檗皮二维鉴定体系的构建	范刚	成都中医药大学	23.0万元	暂无数据	H2818医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=8502285536ad
基于贝叶斯变量选择的多数量表型复杂疾病代谢组学巢式设计及统计方法研究	张涛	山东大学	23.0万元	暂无数据	H2611医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=7f0a28990638
基于代谢组学的丙型肝炎病毒自发清除机制的研究	王晓美	吉林大学	23.0万元	暂无数据	H1911医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=38512904662d
应用药物代谢组学组合技术研究栀子治疗糖尿病及其并发症的药效物质基础及作用机制	宋凤瑞	中国科学院长春应用化学研究所	70.0万元	暂无数据	H2803医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=a4b328409e70
药学统计学在中药代谢组学中生物标记物识别的研究	李佐静	沈阳药科大学	23.0万元	暂无数据	H2819医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=9f9f284865b8
基于转录调节及关键代谢组分控制策略的酱油酿造酵母安全高效育种	侯丽华	天津科技大学	84.0万元	暂无数据	C200301生命科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=0e5e284898c9
烟酰胺N-甲基转移酶(NNMT)基因多态性与心脑血管病关系的代谢组学研究	李江华	江西师范大学	50.0万元	暂无数据	B0504化学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=81b628528851
代谢组学中时间序列算法及应用研究	林晓惠	大连理工大学	80.0万元	暂无数据	B0512化学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=2b7e28868286
基于代谢组学的大骨节病生物标志物研究	王丽华	哈尔滨医科大学	65.0万元	暂无数据	H2401医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=c9a9293556bc
运用代谢组学技术系统研究乌头碱类镇痛药的体内活性/毒性代谢产物	兰轲	四川大学	24.0万元	暂无数据	H3110医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=a65e2906535f
支气管哮喘患儿痰液宏基因组学和代谢组学研究	田曼	南京医科大学	23.0万元	暂无数据	H1007医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=68482e86743e
稻瘟病菌附着胞形成阶段代谢组学研究	林福呈	浙江大学	80.0万元	暂无数据	C010701生命科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=d46c2686582d
代谢组学方法探究低温菜用大豆品质变化机理	宋江峰	江苏省农业科学院	24.0万元	暂无数据	C200501生命科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=8b21409893fb
基于LC-MS的“拟”靶向代谢组学分析新方法及其在前列腺癌研究中的应用	路鑫	中国科学院大连化学物理研究所	80.0万元	暂无数据	B050102化学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=b37c2838517a
基于毒理基因组学与代谢组学技术的细辛肺毒性机理研究	周祯祥	湖北中医药大学	16.0万元	暂无数据	H2807医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=1d292960e3be
利用代谢组学方法研究牛磺酸调控鱼类生长的机制	叶继丹	集美大学	80.0万元	暂无数据	C190401生命科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=f6d429e01339
整合代谢组学与质谱分子成像及检测技术的食管癌快速筛查及早期诊断新方法研究	再帕尔阿不力孜	中国医学科学院药物研究所	300.0万元	暂无数据	B05化学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=ebf62698897b
基于化学物质基础及代谢组学方法的中药藜芦毒性及藜芦、人参配伍禁忌机制研究	董昕	中国人民解放军第二军医大学	23.0万元	暂无数据	H3010医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=86122e03692f
基于代谢组学探索动物性腌制食品N-亚硝基化合物（NOC）的安全性问题	邓红	南方医科大学	70.0万元	暂无数据	H2604医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=460b2e7777f0
基于靶向代谢组学探究广藿香活性成分治疗炎症性肠病的作用和机理	张晓君	广州中医药大学	23.0万元	暂无数据	H2803医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=ce7a2880050c
应用代谢组学分析2,3,7,8-四氯二苯并二恶英毒性与肝癌相关的代谢机理研究	林树海	香港浸会大学深圳研究院	76.0万元	暂无数据	B070704化学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=54e3400952d0
基于代谢组学的运脾消积法对厌食症幼龄大鼠干预作用及其机制研究	吕晓武	甘肃中医学院	48.0万元	暂无数据	H2712医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=bf46418e9377
基于代谢组学方法研究牛磺酸调控肉食性鱼类生长性能的作用机制	梁萌青	中国水产科学研究院黄海水产研究所	14.0万元	暂无数据	C190401生命科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=c1c4424018c4
基于代谢组学方法的飞行疲劳生物标志物探索研究	陈振玲	民航总医院	37.0万元	暂无数据	F01信息科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=da2439e382e6
基于代谢组学的冠心舒通胶囊防治冠心病的药效物质基础和作用机制研究	张晖芬	沈阳药科大学	23.0万元	暂无数据	H2803医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=02f52848e4d4
精胺调控哺乳仔猪肠道发育的代谢组学研究	刘光芒	四川农业大学	20.0万元	暂无数据	C170105生命科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=a264286066ac
代谢组学数据融合与建模新方法及在糖尿病肾病研究中的应用	董继扬	厦门大学	65.0万元	暂无数据	H1811医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=70282e1801b0
基于蛋白组学和代谢组学的皂苷类中药注射剂类过敏成分及监测方法研究	窦德强	辽宁中医药大学	70.0万元	暂无数据	H2803医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=bbdb296809b2
基于药物代谢组学的开心散防治老年痴呆症的物质基础及机制研究	张爱华	黑龙江中医药大学	23.0万元	暂无数据	H2705医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=fa9129e12519
基于肠道微生态学与代谢组学的葛根-丹参配伍改善T2DM胰岛素抵抗药效物质基础及机理研究	黄鸣清	福建中医药大学	75.0万元	暂无数据	H2803医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=222329e2887d
基于代谢组学的参附汤治疗心力衰竭配伍规律的研究	郭娜	中国中医科学院医学实验中心	66.0万元	暂无数据	H2903医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=1b9a4138198e
基于代谢组学对氯胺酮引起的机体代谢特征及毒性机制研究	廖林川	四川大学	70.0万元	暂无数据	H2301医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=99c729069398
糖尿病动物肠道内容物的代谢组成变化研究	田园	中国科学院武汉物理与数学研究所	25.0万元	暂无数据	B0504化学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=5cc2294e575e
填充吸附微量萃取法结合细胞代谢组学研究金纳米材料毒性	张海霞	兰州大学	72.0万元	暂无数据	B050102化学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=e6452e0636a3
基于质谱的代谢组学方法研究溴敌隆血液毒性及其作用机制	严慧	司法部司法鉴定科学技术研究所	23.0万元	暂无数据	H2301医学科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=60bb39e6768e
基于代谢组方法研究内生真菌影响蛇足石杉生根生理机制	李娜	台州学院	23.0万元	暂无数据	C010201生命科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=433e425e529f
代谢组学与中医药现代研究学术论坛暨第二届中荷代谢组学国际合作培训班	秦雪梅	山西大学	4.0万元	暂无数据	H2903医学科学	201310	https://www.medsci.cn/sci/nsfc_show.do?id=8ec7416028f8
基于代谢组学和谱效表征的栀子大黄汤保肝作用药效物质基础研究	尹然	沈阳药科大学	23.0万元	医学科学	H2803医学科学部	201301	https://www.medsci.cn/sci/nsfc_show.do?id=382d229058d9
基于流动进样-质谱的高通量细胞代谢组分析方法的研究	尹沛源	中国科学院大连化学物理研究所	25.0万元	化学科学	B0501化学部	201301	https://www.medsci.cn/sci/nsfc_show.do?id=d43b2290594b
酰胺类手性农药的立体选择性体外代谢组学研究	朱文涛	中国农业大学	26.0万元	化学科学	B070704化学部	201301	https://www.medsci.cn/sci/nsfc_show.do?id=57cf222991de
揉髌手法对兔膝关节骨关节炎模型血清代谢组学影响的研究	戴七一	广西中医药大学	49.0万元	医学科学	H2719医学科学部	201301	https://www.medsci.cn/sci/nsfc_show.do?id=e9022551e0ad
新型系列超高交联树脂固相萃取剂的制备及其在中药药效评价代谢组学分析中的应用	章弘扬	华东理工大学	24.0万元	医学科学	H3010医学科学部	201301	https://www.medsci.cn/sci/nsfc_show.do?id=972e22540ec7
基于NMR代谢组学对肝豆灵排铜作用机制的研究	蒋怀周	安徽中医学院	23.0万元	医学科学	H2708医学科学部	201301	https://www.medsci.cn/sci/nsfc_show.do?id=acdf24929047
清肺通络方干预MPP血清代谢组学及相关细胞因子的研究	姜永红	上海中医药大学	23.0万元	医学科学	H2712医学科学部	201301	https://www.medsci.cn/sci/nsfc_show.do?id=13f324935975
基于代谢组学—蛋白质组学联用的冠心病血瘀证个体化研究	简维雄	湖南中医药大学	23.0万元	医学科学	H2706医学科学部	201301	https://www.medsci.cn/sci/nsfc_show.do?id=f5c624963920
冬小麦需水临界期干旱-复水过程中果聚糖代谢组成的分布格局对产量WUE的影响	郭瑞	中国农业科学院农业环境与可持续发展研究所	25.0万元	生命科学	C020601生命科学部	201301	https://www.medsci.cn/sci/nsfc_show.do?id=cb392521931a
蚕豆胁迫下小鼠肝脏和血浆的代谢组学特征及其与肝细胞基因表达谱的关系	蔡望伟	海南医学院	50.0万元	医学科学	H0815医学科学部	201301	https://www.medsci.cn/sci/nsfc_show.do?id=06f825e64316
基于代谢组学技术表征中药石韦治疗尿路感染的活性组分和作用机制	吕海涛	重庆大学	70.0万元	医学科学	H2815医学科学部	201301	https://www.medsci.cn/sci/nsfc_show.do?id=439b2428319a
