课题名称	批准号	学科分类	项目负责人	职称	单位	金额	项目类别	研究期限	中文主题词	英文主题词	中文摘要	英文摘要	
微生物驱动的虾-蟹-贝-鱼多营养层次综合养殖池塘沉积物氮迁出机制	31873039	水产养殖生态系统恢复 ( C190304 )	常志强		中国水产科学研究院黄海水产研究所	57.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
源头河流砂质基质粒径结构对河流反硝化潜力的影响和关键微生物过程研究	31870452	湿地与内陆水体生态学 ( C030604 )	王伟波		中国科学院武汉植物园	59.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
生物覆盖对西南“旱三熟”种植区农田土壤有机碳氮及微生物多样性的影响	31871583	麦类作物栽培学 ( C130302 )	王龙昌		西南大学	60.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
揭示植物叶际及介体昆虫肠道微生物组对植物病毒侵染的影响	31871932	植物病毒病害 ( C140104 )	张莉莉		中国科学院微生物研究所	60.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
雪被对冻融期湿地土壤氮转化关键过程的影响及其微生物机制	41871100	冰冻圈地理学 ( D010105 )	于晓菲		中国科学院东北地理与农业生态研究所	60.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
甘蔗糖蜜酒精废水高效厌氧消化过程及其关联微生物菌群响应机制的研究	51868003	污水处理与资源化 ( E080402 )	申佩弘		广西大学	39.00万元	地区科学基金项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
基于单细胞拉曼分选耦合精准宏基因组的海洋原位固碳微生物解析	31800087	 (  )	荆晓艳		中国科学院青岛生物能源与过程研究所	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
气候过渡带森林生态系统根系-土壤-微生物互作机制及其对氮沉降的响应	31800369	森林生态学 ( C030602 )	宋蒙亚		河南大学	21.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
不同前茬对当归产量品质及根际微生物群落的调控机制探究	81860677	 (  )	蔡子平		甘肃省农业科学院	35.00万元	地区科学基金项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
土壤微生物群落结构调控太白红杉林凋落物呼吸温度敏感性的机理研究	41801069	冰冻圈地理学 ( D010105 )	张彦军		宝鸡文理学院	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
亚热带杉木林根际土壤是否存在基于“微生物碳泵”的固碳机制？	31800524	 (  )	张芸		福建农林大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
从单基因到基因组研究河湾流域稀有和优势微生物演替规律与机制	41806140	 (  )	汪永明		深圳大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
基于混合培养的海洋来源微生物代谢潜力挖掘及活性次级代谢产物研究	41806167	 (  )	于桂洪		中国海洋大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
畜禽粪肥有机碳组分特征耦合设施蔬菜土壤氮素转化过程的微生物机制	41807047	土壤生物学 ( D070104 )	徐烨红		江苏省农业科学院	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
我国农田土壤磷素转化的关键微生物组及其解磷机制的研究	41807033	土壤生物学 ( D070104 )	戴中民		浙江大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
稻壳生物炭与棕壤作物根际解磷微生物的复合增效机制研究	41807101	土壤肥力与土壤养分循环 ( D070106 )	刘赛男		沈阳农业大学	23.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
磷酸盐矿物干预对微生物-蜈蚣草根际系统砷转化、吸收的影响及其机制	41807110	土壤污染与修复 ( D070107 )	韩永和		福建师范大学	24.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
稻草腐解菌剂JN01调控土壤硝化和反硝化的微生物机制研究	31860595	养分资源与养分循环 ( C150704 )	倪国荣		江西农业大学	38.00万元	地区科学基金项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
新疆风干肉中微生物多样性分析及优势乳酸菌对风味形成的代谢机制	31860437	食品微生物学基础 ( C200301 )	王俊钢		新疆农垦科学院	40.00万元	地区科学基金项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
稀有稀土高盐氨氮废水微生物菌群特性及MBR过程机理研究	21866014	水污染控制化学 ( B060202 )	钟常明		江西理工大学	40.00万元	地区科学基金项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
番茄秸秆堆肥还田对根层土壤氮素有效性及微生物调控机制研究	31960592	蔬菜生理与栽培学 ( C150201 )	杨冬艳		宁夏农林科学院种质资源研究所	40.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
藏传佛教红砂岩石窟岩壁酥碱泛盐病害的微生物加固与修复研究	51968057	岩土与基础工程 ( E0807 )	李驰		内蒙古工业大学	42.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
酸性富硒土壤硒素赋存特征及其有效化过程中微生物作用及机制	41967006	土壤生物学 ( D070104 )	蒋代华		广西大学	41.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
南海岛礁吹填钙质砂工程特性及微生物矿化技术作用机理研究	51968019	岩土与基础工程 ( E0807 )	胡俊		海南大学	40.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
成人与儿童结核病发展的综合研究：细菌菌株和周围微生物组的影响	81961138012	传染病流行病学 ( H2609 )	申阿东		首都医科大学	100.00万元	国际(地区)合作与交流项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
三七连作自毒物质对其根际土壤微生物群落与致病菌的效应研究	31960630	植物-土壤互作与调控 ( C150803 )	谭勇		昆明理工大学	37.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
霾过程桂林城区微环境PM2.5颗粒中的微生物群落分布及演化规律	51968007	空气污染控制 ( E1005 )	龙腾发		广西师范大学	40.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
内生微生物组对滇龙胆道地性的影响及作用机制的研究	81960712	中药质量评价 ( H2804 )	刘卫红		大理大学	34.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
基于微生物多层次调控的生物智造及生物功能材料的组装机制研究	51973076	智能与仿生材料 ( E0307 )	杨光		华中科技大学	61.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
潮汐作用下长江口滨海湿地沉积物中多溴联苯醚的微生物降解机制	41906113	海洋生态学与环境科学 ( D0605 )	潘莹		河海大学	24.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
ZVI介导的限氧活性污泥微生物群体行为及高效脱氮机制与调控策略	51908163	城市污水处理与资源化 ( E1002 )	孟佳		哈尔滨工业大学	24.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
水蚀驱动下坡耕地氮素迁移转化与氮功能微生物的响应与反馈机制	41977072	土壤侵蚀与水土保持 ( D070105 )	张晴雯		中国农业科学院农业环境与可持续发展研究所	61.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
“林-菌”模式对人工林土壤有机碳稳定性及微生物菌群的影响机制研究	31971571	林下经济资源 ( C160101 )	张津京		上海市农业科学院	58.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
生物炭对水体沉积物中关键底栖生物和微生物群落影响及作用机理研究	41907267	环境生物地球化学 ( D070701 )	张超		中国科学院生态环境研究中心	25.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
海底热液区硫化物的微生物氧化作用：过程、机制及其对海洋硫循环的贡献	91951201	微生物学 ( C01 )	韩喜球		自然资源部第二海洋研究所	290.00万元	重大研究计划	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
高时空分辨率的微流控芯片系统构建及微生物矿化机理研究	61904021	微纳机电器件与控制系统 ( F0407 )	李顺波		重庆大学	24.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
基于超声驱动磁性微纳米马达的苹果汁中有害微生物高效捕获-分离技术研究	31901794	食品微生物危害与控制 ( C200706 )	张文涛		西北农林科技大学	25.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
湿季极端降雨对热带季雨林土壤甲烷通量的影响及微生物机制研究	31901163	森林生态系统与全球变化 ( C030801 )	王梅		华南师范大学	25.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
基于微生物种群生态互作关系的湿地甲烷厌氧氧化强化机理研究	51908377	城市污水处理与资源化 ( E1002 )	王海曼		沈阳建筑大学	24.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
黄土高原刺槐林恢复中土壤微生物代谢对团聚体固碳的影响机制	41907031	土壤生物学 ( D070104 )	任成杰		西北农林科技大学	25.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
土壤胞外DNA的分离、检测及其对土壤微生物群落结构研究的影响	31971530	土壤物质循环过程生态学 ( C031101 )	崔骁勇		中国科学院大学	58.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
西太平洋铁锰结核的生物成矿特征及其成矿元素的微生物迁移过程研究	41976202	海洋能源与资源 ( D0613 )	姜明玉		中国科学院海洋研究所	62.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
典型新烟碱类农药在水/沉积物体系中迁移特征及其微生物降解机制	41977300	环境有机地球化学 ( D070702 )	黄明智		华南师范大学	61.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
是敌是友？食花者与微生物在西南鸢尾虫媒传粉中的作用	31970249	传粉生物学与协同进化 ( C020304 )	龚燕兵		武汉大学	58.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
设计构建新型生物调控元件及其在云杉新甙微生物合成中的应用	31970080	微生物功能基因 ( C010301 )	梁朝宁		中国科学院微生物研究所	58.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
喀斯特地区石生苔藓根部土壤微生物及在生物岩溶溶蚀中的作用	31971729	植被与荒漠化 ( C161303 )	彭霞薇		北京林业大学	58.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
微生物菌群预处理强化玉米秆定向热解制备4-乙烯基苯酚的基础研究	31971793	农业物料学 ( C130103 )	王体朋		华北电力大学	58.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
有机碳介导下化肥氮在华北农田中固持转化的微生物调控机理	31972519	养分流动与调控 ( C151001 )	王洪媛		中国农业科学院农业资源与农业区划研究所	59.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
基于肠道微生物介导能量代谢探讨纳米氧化锌对IUGR猪脂肪沉积的调控机制	31972598	饲料添加剂 ( C170603 )	王超		南京农业大学	57.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
南海北部水合物区非甲烷短链烷烃的微生物厌氧降解机制研究	41906076	生物海洋学与海洋生物资源 ( D0604 )	董西洋		中山大学	27.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
豫西寒武纪微生物岩中的葛万菌化石及其钙化作用机理研究�	41902115	沉积学和盆地动力学 ( D0206 )	代明月		河南理工大学	25.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
耕作措施和氮肥对旱作农田秸秆降解特性的影响及微生物作用机制	31971860	耕作学 ( C130307 )	温晓霞		西北农林科技大学	58.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
菜心根际微界面邻苯二甲酸酯的迁移转化及其微生物驱动机制	41977301	环境有机地球化学 ( D070702 )	吕辉雄		华南农业大学	62.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
碳-铁-微生物对滩涂围垦稻田土壤团聚体形成和稳定的调控机制	41977088	土壤肥力与土壤养分循环 ( D070106 )	刘亚龙		沈阳农业大学	61.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
氧化石墨烯调控微生物体内偶氮还原酶活性实现对偶氮污染物的高效降解	21976183	水污染控制化学 ( B060202 )	刘变化		中国科学院合肥物质科学研究院	65.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
微生物群落休眠潜力与异养策略对农田土壤功能稳定性的影响机制	41977080	土壤肥力与土壤养分循环 ( D070106 )	凌宁		南京农业大学	61.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
半干旱受损矿山土壤微生物区系发育对生态恢复弹性的作用机制研究	51974313	矿山修复工程 ( E0407 )	陈浮		中国矿业大学	59.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
多芳基喹啉双相发光荧光探针的设计合成及微生物菌传感应用	21975021	光电磁功能分子 ( B050205 )	蔡政旭		北京理工大学	65.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
海洋溢油降解土著微生物浮滴的构建及其动力学过程与生物修复机理研究	21777143	水污染控制化学 ( B060202 )	高云玲	副教授	浙江工业大学	64.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	海洋溢油；浮滴；溢油降解土著微生物；动力学；生物修复机理	marine oil spills;floating droplets;indigenous hydrocarbon-degrading microorganisms;dynamic;bioremediation mechanism	海洋溢油污染会给水体、空气、土壤和生态系统带来严重危害，是当今全球海洋污染最严重的问题，对溢油的高效微生物降解处理是解决海洋溢油污染的绿色有效途径。受海洋开放、动态特征的影响，如何保证溢油区微生物的有效富集和所需营养底物的浓度，以及菌种与油滴的良好接触，是决定溢油降解效率的关键。.本申请项目拟研究一种土著微生物浮滴降解海洋溢油的新方法，通过对溢油水体区域筛选和构建高效溢油土著降解菌群，并以生物表面活性剂和甲壳素、壳聚糖等经水解改性的产物为介质，包裹微生物菌群和营养底物，建立一种可直接喷洒，遇油自动形成溢油微生物浮滴的方法；研究浮滴对海洋溢油降解过程中的浮滴动力学、传质动力学、降解和代谢动力学行为；探索土著微生物浮滴规模化溢油降解的特性，找到规模化浮滴处理溢油的影响规律。.通过本项目的研究，可望探索一种有效治理海洋溢油水体污染的新方法，丰富海洋微生物溢油降解处理的理论研究。	"Marine oil spills, as the biggest pollution problem of marine, have resulted in the negative impact on the water, air, soil and the ecosystem. Bioremediation of marine pollution due to crude oil provided an effective, green approach. Oil spills would be dynamically changing in the marine environment, therefore, the key problems for efficient bioremediation of marine oil spills are to supply high concentration of hydrocarbon-degrading microorganisms and nutrients required, and to obtain the good contact between microorganisms and oil droplets. .The project aims to develop new floating droplets for the bioremediation of marine oil spills with indigenous hydrocarbon-degrading microorganisms. Identification and isolation of hydrocarbon-degrading microorganisms from the marine environment with oil spills will be carried out and then the database of the indigenous hydrocarbon-degrading microorganisms for the bioremediation of marine oil spills will be developed. The surface active media for floating droplets will use biosurfactants, hydrolytic chitins and chitosans which will be also modified with acidic or basic groups. The new preparation approach for the floating droplets will be developed using the mixture of microorganisms, nutrients and surface active media, which can form automatically the floating droplets when subjected to the oil spills. The dynamic behavior of floating droplets, including mass transfer kinetics, oil-degrading kinetics, and metabolic kinetics, will be explored. Finally, the bioremediation experiments of marine oil spills with indigenous hydrocarbon-degrading microorganisms using these floating droplets will be scaled up and the corresponding degradation characteristics will be explored. .This project will provide a new approach for the effective degrading of marin oil spills and also strengthen the theory of hydrocarbon-degrading microorganisms for bioremediation of marine oil spills."	
仿动物甾体激素代谢模式创建甾体药物合成微生物细胞工厂的研究	21776075	生化反应过程与分离工程 ( B080702 )	王风清	副研究员	华东理工大学	64.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	微生物细胞工厂；代谢工程；合成生物学；生物催化；酶工程	Microbial Cell Factory;Metabolic Engineering;Synthetic Biology;Biocatalysis;Enzyme Engineering	甾体药物的生产，工艺复杂、路线长、收率低、污染重。我国是甾体制药大国，开发绿色生产技术，推动微生物转化对众多高难化学反应的替代是甾体制药工业技术变革的大方向，也是推动我国甾体制药产业转型升级的重大需求。基于甾体制药工业主体生产路线与动物甾体激素生成途径高度相似这一事实，申请者针对两者在四大类甾体激素合成过程中的共性，通过解构抽提动物甾体激素代谢途径，提出在微生物中“模仿动物甾体激素代谢模式”组建甾体级联转化途径，实现甾体药物微生物代谢合成的研究思路。基于甾体毒性耐受、甾体转运能力、P450酶异源表达和基因组连续编辑等的可行性，申请者提出了以分枝杆菌为底盘的工作模型，内容涉及5个P450酶系和2个羟基甾体脱氢酶的元器件筛选优化、底盘适配性改造、级联转化途径构建以及基于甾体激素受体传感的高通量进化研究等。期望通过以上研究为甾体制药微生物细胞工厂的研发提供理论指导，为甾体制药工业开创绿色新体系。	"The synthesis of steroids in the industry is a complicated process ,which is lengthy, low yield and seriously polluting. Green processes, especially the replacement of hard and dangerous chemical reactions by microbial transformations, are the most pressing needs of the steroid pharmaceutical industry, which are also national great demands for industry transformation and upgrading in our country as a huge producer of steroids. The primary synthesis pathways of steroids in the industry are highly similar to the steroidogenic pathway in animals, and there are many common processes in the synthesis of four kinds of steroid hormones, on the basis of which we propose a research plan to develope artificial cascade transformation pathways for the synthesis of steroids in microorganisms by deconstructing, extracting, and mimicking the steroidogenic pathway of steroids in animals. According to the feasibility analyses on steroids tolerance, steroid transport capacity, P450s heterologous expression and genome editing, a Mycobactial model is designed to carry out the research plan, which involves five cytochrome P450 monooxygenases and two hydroxysteroid dehydrogenases. In this work, systematic strategies will be employed, including the selection and optimization of biological components and parts, the adaptive modification of microbial chassises, the construction of cascade conversion pathways of steroids, and the high-throughput evolution of enzymes, pathways, and engineered strains by developing steroid-detecting biosensors based on steroid receptors from animals. Through the above researches, we expect to provide a guidance for the development of microbial cell factories in the synthesis of steroids and create a kind of innovative industrial system for the green synthesis of steroids."	
外源氮输入对毛竹林土壤CH4吸收的影响及其微生物机理的研究	31700540	森林土壤学 ( C1606 )	刘娟	副教授	浙江农林大学	23.00万元	青年科学基金项目	2018 年 01 月 01 日 至 2020 年 12 月 31 日	氮沉降；森林土壤碳循环；毛竹；土壤CH4吸收；甲烷氧化菌	N deposition ;forest soil C cycle;Moso bamboo;Soil methane uptake;methane oxidizing bacteria	森林土壤是大气CH4的重要吸收汇。相对于有效氮匮乏的北方森林，处于全球氮沉降高值区、土壤氮素相对富集的亚热带毛竹土壤CH4吸收对外源氮输入应更为敏感。本项目综合了不同氮肥类型、不同剂量的外源氮输入对毛竹林土壤CH4吸收的影响，将野外定位试验和室内培养实验相结合，综合应用核磁共振、元素分析、静态箱-气相色谱和现代微生物分子生物学的方法，将毛竹林土壤CH4吸收和甲烷氧化菌同步监测，明确施氮类型和施氮量对毛竹林土壤CH4吸收的影响，阐明毛竹林土壤甲烷氧化菌群落特征对外源氮输入的响应，揭示毛竹林土壤CH4吸收与甲烷氧化菌群落组成的内在联系，明确毛竹林土壤CH4氧化活性的垂直分布特征，全面揭示外源氮输入和经营管理对毛竹林土壤-大气界面CH4吸收和垂直分布的影响及其环境因子和微生物驱动机制。研究有助于全面评估毛竹林在气候变化中的作用，并为构建亚热带森林土壤CH4通量模型提供科学支撑。	"Forest soil is the main sink of atmospheric CH4.Compared with N-limited soils in boreal forests, the response of soil CH4 uptake in subtropical Moso bamboo forest to N addition was expected to be more sensitive. However, only one type of N fertilizer was often used in many previous studies. In this study, two different types of N fertilizer and four N application rates will be used to investigate the effects of simulating N deposition on soil CH4 uptake in subtropical Moso bamboo forest. Soil CH4 flux rate and methanotrophic community will be measured simultaneously using nuclear magnetic resonance (NMR) analysis, elemental analysis, closed static chamber technique and gas chromatography method and molecular biology method, in order to: (1) reveal the effects of the type of N fertilizer and N application rates on soil CH4 uptake; (2) clarify the response of the activity and structure of methanotrophic community to the types of N fertilizer and N application rates; (3)explore the internal relationship between soil CH4 uptake and methanotrophic community; (4) investigate vertical distribution of methane oxidation activity; (5) explain the microbiological mechanism of of soil CH4 uptake in soil-atmosphere and veitical distribution to  management practices and nitrogen addition. These results would be conducive to evaluating the role of Moso bamboo forests in climate change, and providing scientific support for establishing model of soil CH4 uptake in subtropical forest."	
生草制南丰蜜橘根际碳氮转化与关键微生物作用机制的研究	31760547	果树生理与栽培学 ( C150101 )	付学琴	副教授	江西师范大学	38.00万元	地区科学基金项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	柑橘；根际环境；碳氮转化；关键微生物	tangerine;rhizosphere environment; carbon and nitrogen transformation ;key  microbial 	果园生草是有效解决果园长期清耕制带来的潜在负面危害的一项重要管理措施，而有效调控果园根际微生态碳、氮循环是我国生草栽培推广应用面临的首要问题。本项目在前期研究的基础上，以南丰蜜橘为研究对象，设种植白三叶草、紫花苜蓿和自然生草、清耕4种主试验，并附加13C-CO2标记试验进行研究：1）将稳定性同位素探针技术与454高通量测序技术相结合，分析不同生草条件下果园根际碳转化关键微生物作用机制；2）利用功能基因作为分子标记，结合Miseq高通量测序等技术，分析不同生草条件下果园根际氮转化关键微生物作用机制；3）采用宏基因组技术分析不同生草条件下根际土壤微生物多样性差异，揭示果园土壤微生物多样性对生草栽培措施的响应机制。从而，为解决南丰蜜橘生产中存在的问题，加快推广果园生草技术，促进南丰蜜橘产业可持续发展，应对全球气候变暖提供依据。	"Interplanting grass can regulate micro-ecological carbon and nitrogen cycling in the rhizosphere soil of Nanfeng tangerine effectively.It is one of the important orchard soil management measures for avoiding negative effects,such as soil erosion,soil organic matter decrease,soil fertility reduction and deterioration of fruit quality induced by traditional orchard clean cultivation activities. Based on the previous studies,four main treatments(Trifolium repens,Medicago sativa,natural grass and clean tillage) were assessed in a randomized design,with additional labeling experiment of 13C-CO2 in Nanfeng tangerine garden in this study.The following studies will be conducted: 1)Analyzing the microbe-driving mechanism of the carbon transformation in the orchard rhizosphere soil under different sod-cultural conditions using stable isotope probing(SIP)combied with 455 high-through put sequence technology. 2) Analyzing the microbe-driving mechanism of the nitrogen conversion in the orchard rhizosphere soil under different sod-cultural condition using functional genes as a molecular marker combied with Miseq high-through put sequence technology. 3)Probing the difference between microbial diversity in rhizosphere and revealing the response mechanism of microbial diversity under sod-cultural practices.Thus,this study will provide the basis for solving the problems existing in Nanfeng tangerine production,speed up the promotion of orchard grass technology,promote the sustainable development of Nanfeng tangerine industry and deal with the global climate warming."	
新疆地区不同动物原奶微生物组及优势种群Lactococcus遗传结构的宿主特异性研究	31760446	食品微生物学基础 ( C200301 )	张艳	讲师	石河子大学	37.00万元	地区科学基金项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	益生菌；筛选；微生物组；遗传结构；抗生素耐药性	Probiotic;Screening;Microbiota;Genetic structure;Antimicrobial resistance	新疆地区少数民族众多，家养动物原奶自然发酵乳品大多以家庭作坊式的手工加工为主，开展各种动物原奶微生物组的解析对少数民族健康的影响非常必要。Lactococcus是原奶中最丰富、乳品工业中应用最广泛的乳酸菌，其野生型菌株开发潜力巨大。本项目拟广泛取样新疆南、北疆动物原奶，基于rRNA基因的高通量测序技术，比较空间上隔离的特定地理区域、不同动物原奶微生物菌群的结构组成，揭示动物原奶微生物组是否具有宿主动物特异性和地域性格局。深度分离筛选Lactococci菌株，分子指纹分型去重后对代表菌株采用MLSA、PFGE技术和耐药基因、毒力基因、细菌素基因多重PCR检测技术，结合高通量表型芯片方法，揭示乳球菌的群体遗传多态性与表型组学、耐药谱的相关性以及遗传结构分化的宿主特异性。项目的开展有助于实时评估不同动物原奶加工乳品对少数民族健康的潜在影响，为安全的野生型益生菌资源的开发和应用奠定理论参考依据。	"Raw milk is known to harbour a complex microbial community. These microorganisms include bacteria of technological relevance such as the lactic acid bacteria (LAB), which can contribute to subsequent desirable fermentative reactions. However the presence of spoilage bacteria can have considerable negative effects on the quality of milk and dairy products while the presence of pathogens can have more severe repercussions. Lactococcus is an organism of substantial economic importance, used extensively in the production of fermented foods and widely held to have evolved from plant strains..The main purpose of this work is to select Lactococcus strains from dairy products from different environmental niches, xinjiang. Taxonomic identity and genetic diversity of strains isolated are determined by using universal 16S rRNA gene sequences and phenotypic characteristics. Accurate identification to the species level of the Lactococcus population is obtained by means of using species-specific primers and genomic fingerprintings (PFGE, rep-PCR, AFLP), and then we will apply rapid MLST genotyping method to determine the population genetic structure of Lactococcus from different environmental niches,I ncluding raw milk of different farm animals and other econiches. By PCR amplification of structural genes for antimicrobial bacteriocins, antibiotic resistance and virulence, we will detect antimicrobial activity and virulence traits of Lactococcus isolates and compare their occurrence in clonal clusters generated by MLST and genotypic fingerprints (PFGE, rep-PCR). In addition, we will use illumina high-throughput sequencing to comprehensively survey composition of the microbiota and the diversity of lactic acid bacteria (LAB) in a variety of raw milk of different farm animals in Xinjiang region..In this work, To conclude, our objectives are test whether the clonal clusters of Lactococcus lactis isolates from different origins exhibit genetic isolation and host-specifity and further assess the probiotic properties, functionality, and safety of the tested Lactococcus spp."	
新疆伊犁牧区传统奶酪中微生物群落结构解析及其对风味贡献机制的研究	31760451	食品微生物学基础 ( C200301 )	李宇辉	助理研究员	新疆农垦科学院	37.00万元	地区科学基金项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	菌群结构；多样性；风味；奶酪；新疆伊犁	colony structure;diversity;flavor;cheese;xinjiangYili	新疆伊犁牧区传统发酵奶酪具有鲜明的地域特色，然而对这些传统奶酪中微生物群落结构、成熟过程中菌群的结构变化对风味物质的影响还不清楚，因此，本项目以新疆伊犁牧区传统奶酪为研究对象，在传统分离鉴定的基础上，利用高通量技术测定其中酵母菌和乳酸菌区系的多样性，利用FISH-FCM技术监测其成熟过程菌群的动态变化。同时利用GC-MS结合GC-O-AEDA法测定成熟过程中的风味物质变化，分析菌群结构变化与主要风味物质形成的相关性，分析优势菌群的产酶特性和产黏性与风味形成的关系，为传统奶酪的比较提供借鉴，进而为新疆伊犁牧区传统发酵乳制品的工艺现代化改造提供理论支持。	"Yili traditional cheese in Xinjiang have distinctive local characteristics. However,  it is still not clear on what are the microorganisms diversity and influence of microbial community dynamics on flavor of Yili traditional cheese. Therefore, taking the Xinjiang Yili cheese as the research object, culture-dependent methods will be used to isolate and identify Yeast and Lactobacillus,combined with culture-independent methods to use the universal rRNA gene sequences and high-throughput sequencing to analyze the diversity of the Yeast and Lactobacillus in spontaneous cheese. At the same time, fluorescence in situ hybridization - flowcytometry will be used to detect the dynamic of Yeast and Lactobacillus in the ripening Cheese process. Samples from different fermentation process will be analyzed by gas chromatography-mass spectroscopy (GC-MS) and aroma extract dilution analysis of gas chromatography-olfactometry(GC-O-AEDA). Analysis of the relationship between the changes in flora structure and the formation of major flavor substances. To research the production of enzyme and Viscosity about dominant colony. The relationship between their characteristic and the formation  of  flavor will be analysed.  This research aims to  distinguish the  quality of cheese. Finally, flavour-producing characteristics of Yeast and Lactobacillus will be investigated, which is to provide the oretical support for modernization of traditional fermented dairy."	
